date_time,subject,subject_count
08/06/2017 22:34," ""strong and stable"" OR #strongandstable",33
08/06/2017 22:35, BBC Coverage,168
08/06/2017 22:35, Conservative Seats,22
08/06/2017 22:35, ITV Coverage,4
08/06/2017 22:35, Labour Seats,37
08/06/2017 22:35," ""exit poll"" OR #exitpoll",1318
08/06/2017 22:35," ""for the many"" OR #forthemany",27
08/06/2017 22:35," ""hung parliament"" OR #hungparliament",236
08/06/2017 22:35," ""strong and stable"" OR #strongandstable",61
08/06/2017 22:36, BBC Coverage,134
08/06/2017 22:36, Conservative Seats,37
08/06/2017 22:36, ITV Coverage,6
08/06/2017 22:36, Labour Seats,70
08/06/2017 22:36," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:36," ""exit poll"" OR #exitpoll",1215
08/06/2017 22:36," ""for the many"" OR #forthemany",26
08/06/2017 22:36," ""hung parliament"" OR #hungparliament",203
08/06/2017 22:36," ""strong and stable"" OR #strongandstable",59
08/06/2017 22:37, BBC Coverage,121
08/06/2017 22:37, Conservative Seats,27
08/06/2017 22:37, ITV Coverage,8
08/06/2017 22:37, Labour Seats,53
08/06/2017 22:37, SNP Seats,1
08/06/2017 22:37," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:37," ""exit poll"" OR #exitpoll",1157
08/06/2017 22:37," ""for the many"" OR #forthemany",22
08/06/2017 22:37," ""hung parliament"" OR #hungparliament",259
08/06/2017 22:37," ""strong and stable"" OR #strongandstable",50
08/06/2017 22:38, BBC Coverage,137
08/06/2017 22:38, Conservative Seats,32
08/06/2017 22:38, ITV Coverage,6
08/06/2017 22:38, Labour Seats,47
08/06/2017 22:38," ""coalitionofchaos"" OR #coalitionofchaos",3
08/06/2017 22:38," ""exit poll"" OR #exitpoll",1226
08/06/2017 22:38," ""for the many"" OR #forthemany",24
08/06/2017 22:38," ""hung parliament"" OR #hungparliament",226
08/06/2017 22:38," ""strong and stable"" OR #strongandstable",57
08/06/2017 22:39, BBC Coverage,119
08/06/2017 22:39, Conservative Seats,24
08/06/2017 22:39, ITV Coverage,6
08/06/2017 22:39, Labour Seats,42
08/06/2017 22:39," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:39," ""exit poll"" OR #exitpoll",1243
08/06/2017 22:39," ""for the many"" OR #forthemany",23
08/06/2017 22:39," ""hung parliament"" OR #hungparliament",238
08/06/2017 22:39," ""strong and stable"" OR #strongandstable",44
08/06/2017 22:40, BBC Coverage,116
08/06/2017 22:40, Conservative Seats,24
08/06/2017 22:40, ITV Coverage,3
08/06/2017 22:40, Labour Seats,50
08/06/2017 22:40, SNP Seats,1
08/06/2017 22:40," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:40," ""exit poll"" OR #exitpoll",1187
08/06/2017 22:40," ""for the many"" OR #forthemany",17
08/06/2017 22:40," ""hung parliament"" OR #hungparliament",230
08/06/2017 22:40," ""strong and stable"" OR #strongandstable",51
08/06/2017 22:41, BBC Coverage,100
08/06/2017 22:41, Conservative Seats,31
08/06/2017 22:41, ITV Coverage,5
08/06/2017 22:41, Labour Seats,55
08/06/2017 22:41, SNP Seats,2
08/06/2017 22:41," ""exit poll"" OR #exitpoll",1208
08/06/2017 22:41," ""for the many"" OR #forthemany",15
08/06/2017 22:41," ""hung parliament"" OR #hungparliament",217
08/06/2017 22:41," ""strong and stable"" OR #strongandstable",52
08/06/2017 22:42, BBC Coverage,79
08/06/2017 22:42, Conservative Seats,34
08/06/2017 22:42, ITV Coverage,2
08/06/2017 22:42, Labour Seats,56
